,gene,labels,Oligo_2_1,Oligo_2_3_2,log2FC,pval,log2FCsc,Oligo_2_1sqr,Oligo_2_3_2sqr,fc,log2fcsqr,select
131,FCER1A,,1.02338589651539,1.01560458131766,-0.0077813151977344,1.98E-17,0.00323668522477174,1.04731869318661,1.03145266559342,0.984850812177414,-0.0220228970523392,
327,TIGIT,,1.03087139707635,1.02302356417569,-0.00784783290065905,6.77E-14,0,1.06269583731015,1.04657721285873,0.984832325595429,-0.0220499780580528,
347,VWF,,1.08771093004687,1.07903116948352,-0.00867976056334818,5.35E-05,0.0146093462741419,1.18311506734343,1.16430826471697,0.984103995337763,-0.0231173142513253,
182,IL3RA,,1.01773699854535,1.00948892222567,-0.00824807631968127,6.29E-29,0.00601876823106147,1.0357885982081,1.01906788409634,0.983857020495611,-0.0234794244547293,
167,HIGD1B,,1.01668779975334,1.00824963044256,-0.00843816931078645,4.72E-32,0,1.03365408216729,1.01656731728756,0.983469552169811,-0.0240477069627055,
20,AQP3,,1.02034847705694,1.01178480740856,-0.00856366964838706,4.48E-24,0.0460829689212765,1.04111101463242,1.02370849650278,0.983284666202687,-0.0243189498726669,
88,CPA3,,1.01930974777395,1.01055091237541,-0.00875883539854017,2.26E-30,0.00356102088981529,1.03899236190699,1.02121314650277,0.98288802107112,-0.0249010329987035,
202,KLRF1,,1.0317124128336,1.02221684540274,-0.00949556743086233,8.89E-22,0,1.06443050279493,1.04492727902513,0.981677315974515,-0.0266792161184369,
203,LAG3,,1.02130085144987,1.01181256374171,-0.00948828770815568,2.15E-28,0.00394225477907751,1.04305542917223,1.02376466414557,0.981505522633666,-0.0269317095659752,
151,GPC5,,1.04361983548559,1.03318383195908,-0.0104360035265076,2.55E-19,0.351846979258226,1.08914236101897,1.06746883062165,0.980100369636671,-0.0289985952897392,
74,CEACAM8,,1.01680059641905,1.00655979876961,-0.0102407976494425,9.32E-51,#N/A,1.03388345287814,1.01316262849912,0.979958259007497,-0.0292077954609275,
